Fecha,Hora,Temp_Media_C,Hum_Media_pct,Vel_Viento_ms,Dir_Viento_grados,Rad_Wm2,Precip_mm
01/01/2024,0:30,7.02,97.70,0.29,180.20,0.00,0.00
01/01/2024,1:00,6.98,98.60,0.26,202.50,0.00,0.00
01/01/2024,1:30,6.40,98.60,0.12,186.50,0.00,0.00
01/01/2024,2:00,5.96,99.80,0.18,192.60,0.00,0.00
01/01/2024,2:30,6.18,100.00,0.16,206.70,0.00,0.00
01/01/2024,3:00,6.07,100.00,0.17,197.20,0.00,0.00
01/01/2024,3:30,6.00,100.00,0.37,222.40,0.00,0.00
01/01/2024,4:00,6.11,100.00,0.15,101.40,0.00,0.00
01/01/2024,4:30,6.36,100.00,0.29,212.50,0.00,0.00
01/01/2024,5:00,6.29,100.00,0.56,218.40,0.00,0.00
01/01/2024,5:30,6.00,100.00,0.42,254.30,0.00,0.00
01/01/2024,6:00,5.67,100.00,0.51,280.80,0.00,0.00
01/01/2024,6:30,5.38,100.00,0.21,205.10,0.00,0.00
01/01/2024,7:00,5.29,100.00,0.21,205.20,0.00,0.00
01/01/2024,7:30,5.33,100.00,0.45,214.60,0.38,0.00
01/01/2024,8:00,5.13,100.00,0.51,195.30,5.91,0.00
01/01/2024,8:30,4.69,100.00,0.60,187.70,13.62,0.00
01/01/2024,9:00,4.40,100.00,0.77,191.50,72.90,0.00
01/01/2024,9:30,5.00,100.00,0.67,205.40,111.00,0.00
01/01/2024,10:00,5.69,100.00,0.81,228.00,144.10,0.00
01/01/2024,10:30,6.22,100.00,0.85,238.70,223.10,0.00
01/01/2024,11:00,7.07,100.00,1.01,243.70,373.90,0.00
01/01/2024,11:30,8.16,96.50,1.17,258.40,357.00,0.00
01/01/2024,12:00,9.12,80.30,1.42,265.20,430.80,0.00
01/01/2024,12:30,9.94,72.50,1.30,259.20,461.10,0.00
01/01/2024,13:00,10.85,63.34,1.23,254.50,440.10,0.00
01/01/2024,13:30,11.30,57.43,1.44,242.50,487.60,0.00
01/01/2024,14:00,11.32,55.92,1.31,247.00,416.30,0.00
01/01/2024,14:30,11.36,55.12,1.24,253.30,362.40,0.00
01/01/2024,15:00,11.79,53.21,1.26,251.10,305.40,0.00
01/01/2024,15:30,11.54,53.72,1.27,253.50,225.50,0.00
01/01/2024,16:00,11.45,53.72,1.07,249.00,140.10,0.00
01/01/2024,16:30,10.94,54.12,0.90,250.30,65.70,0.00
01/01/2024,17:00,9.50,58.92,0.77,252.30,13.77,0.00
01/01/2024,17:30,8.04,64.53,0.64,250.90,1.25,0.00
01/01/2024,18:00,7.29,67.70,0.45,226.40,0.00,0.00
01/01/2024,18:30,6.16,72.70,0.59,163.50,0.00,0.00
01/01/2024,19:00,5.83,75.20,0.94,158.10,0.00,0.00
01/01/2024,19:30,5.72,76.30,1.23,147.00,0.00,0.00
01/01/2024,20:00,4.99,79.20,1.30,146.60,0.00,0.00
01/01/2024,20:30,4.65,80.20,1.17,145.10,0.00,0.00
01/01/2024,21:00,4.50,80.70,1.12,159.30,0.00,0.00
01/01/2024,21:30,4.21,81.30,1.42,153.70,0.00,0.00
01/01/2024,22:00,3.67,82.60,1.51,148.00,0.00,0.00
01/01/2024,22:30,3.92,80.80,1.26,161.60,0.00,0.00
01/01/2024,23:00,3.43,82.30,0.92,169.50,0.00,0.00
01/01/2024,23:30,3.12,83.30,1.13,165.30,0.00,0.00
02/01/2024,24:00,3.83,82.10,1.29,167.00,0.00,0.00
02/01/2024,0:30,4.53,81.50,1.96,154.70,0.00,0.00
02/01/2024,1:00,5.17,79.50,1.48,165.70,0.00,0.00
02/01/2024,1:30,4.72,82.30,1.56,166.80,0.00,0.00
02/01/2024,2:00,5.45,83.80,1.79,168.30,0.00,0.00
02/01/2024,2:30,5.19,85.80,0.83,188.40,0.00,0.00
02/01/2024,3:00,4.83,88.30,0.84,175.70,0.00,0.00
02/01/2024,3:30,4.58,89.10,0.91,266.80,0.00,0.00
02/01/2024,4:00,3.56,93.50,0.30,247.60,0.00,0.00
02/01/2024,4:30,3.12,96.10,0.07,347.20,0.00,0.00
02/01/2024,5:00,2.94,98.40,0.11,43.67,0.00,0.00
02/01/2024,5:30,2.63,99.70,0.24,169.00,0.00,0.00
02/01/2024,6:00,2.15,100.00,0.91,155.10,0.02,0.00
02/01/2024,6:30,2.37,100.00,0.83,158.20,0.02,0.00
02/01/2024,7:00,2.30,100.00,1.46,152.80,0.02,0.00
02/01/2024,7:30,3.19,100.00,1.15,169.70,0.62,0.00
02/01/2024,8:00,4.12,99.90,0.66,174.80,4.60,0.00
02/01/2024,8:30,4.99,97.50,0.98,178.00,30.44,0.00
02/01/2024,9:00,6.21,92.00,1.47,197.90,131.90,0.00
02/01/2024,9:30,8.00,84.20,1.97,210.20,237.60,0.00
02/01/2024,10:00,9.47,79.10,1.88,203.70,317.80,0.00
02/01/2024,10:30,10.25,75.30,1.81,218.00,395.70,0.00
02/01/2024,11:00,11.44,70.70,1.80,212.70,451.70,0.00
02/01/2024,11:30,12.01,68.28,1.70,207.30,452.20,0.00
02/01/2024,12:00,12.70,65.94,1.69,237.70,448.40,0.00
02/01/2024,12:30,13.12,64.90,1.63,242.20,450.90,0.00
02/01/2024,13:00,13.83,62.72,1.64,225.60,437.90,0.00
02/01/2024,13:30,14.12,62.08,1.61,245.20,318.10,0.00
02/01/2024,14:00,13.32,65.52,1.37,264.10,174.30,0.00
02/01/2024,14:30,13.76,64.66,1.44,254.20,255.30,0.00
02/01/2024,15:00,14.50,62.88,1.42,244.50,251.80,0.00
02/01/2024,15:30,14.19,63.79,1.40,242.10,151.20,0.00
02/01/2024,16:00,13.54,67.37,0.90,249.40,77.90,0.00
02/01/2024,16:30,13.25,69.06,0.84,236.20,65.86,0.00
02/01/2024,17:00,12.16,72.10,0.50,202.30,16.91,0.00
02/01/2024,17:30,10.86,76.30,0.28,200.40,1.64,0.00
02/01/2024,18:00,10.51,77.80,0.51,219.80,0.00,0.00
02/01/2024,18:30,10.09,79.10,0.66,202.50,0.00,0.00
02/01/2024,19:00,10.23,79.10,1.13,195.40,0.00,0.00
02/01/2024,19:30,10.05,80.40,1.20,201.50,0.00,0.00
02/01/2024,20:00,9.87,81.50,1.52,183.90,0.00,0.00
02/01/2024,20:30,9.54,82.50,1.57,179.40,0.00,0.00
02/01/2024,21:00,9.56,83.00,1.52,182.60,0.00,0.00
02/01/2024,21:30,9.14,83.40,1.83,188.80,0.00,0.00
02/01/2024,22:00,8.85,84.20,1.60,194.20,0.00,0.00
02/01/2024,22:30,9.16,82.30,1.68,161.20,0.00,0.00
02/01/2024,23:00,8.76,82.90,1.52,162.60,0.00,0.00
02/01/2024,23:30,8.51,84.30,1.10,182.30,0.00,0.00
03/01/2024,24:00,8.76,84.30,1.56,198.50,0.00,0.00
03/01/2024,0:30,9.05,82.80,1.69,196.50,0.00,0.00
